SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Ottowia; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Acidovorax; radicis"	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Rhodocyclaceae; Dechloromonas; NA"	0	0	0	42	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Rhizobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Actinobacteriota; Rubrobacteria; Rubrobacterales; Rubrobacteriaceae; Rubrobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; NA; NA; NA; NA; NA; NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; maltophilia"	0	0	0	0	0	0	0	21233	0	0	0	0	3776	0	0	0	0	0	0	22	12	0	0	0	0	0	0	0	0	0	4	0	0	0	73	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	3162	0	0	0	0	0	0	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
"Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; simulans"	0	0	0	0	0	0	0	0	0	0	0	0	2622	0	0	0	0	0	0	12	23	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
