SAMPLEID	NT_VERDY10	NT_VERDY11	NT_VERDY12	NT_VERDY13	NT_VERDY14	NT_VERDY15	NT_VERDY16	VERDY17	VERDY18	VERDY19	VERDY1	VERDY20	VERDY21	VERDY22	VERDY23	VERDY24	NT_VERDY25	NT_VERDY26	NT_VERDY27	NT_VERDY28	NT_VERDY29	VERDY2	NT_VERDY30	NT_VERDY31	NT_VERDY32	VERDY33	VERDY34	VERDY35	VERDY36	VERDY37	VERDY38	VERDY39	VERDY3	VERDY40	NT_VERDY41	VERDY42	NT_VERDY43	NT_VERDY44	NT_VERDY45	NT_VERDY46	NT_VERDY47	NT_VERDY48	VERDY49	VERDY4	VERDY50	VERDY51	VERDY52	VERDY53	VERDY54	VERDY55	VERDY56	NT_VERDY57	NT_VERDY58	NT_VERDY59	VERDY5	NT_VERDY60	NT_VERDY61	NT_VERDY62	NT_VERDY63	NT_VERDY64	VERDY65	VERDY66	VERDY67	VERDY68	VERDY69	VERDY6	VERDY70	VERDY71	VERDY72	NT_VERDY73	NT_VERDY74	NT_VERDY75	NT_VERDY76	NT_VERDY77	NT_VERDY78	NT_VERDY79	VERDY7	NT_VERDY80	VERDY8	VERDY9
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO46"	0	0	0	0	0.0361842	0	0	0	0	0	0	0	0	0	0	0.00986842	0	0	0.00164474	0	0.00493421	0.00986842	0	0	0	0	0	0.00328947	0	0	0	0	0	0	0	0	0	0	0.0444079	0	0	0.126645	0	0.0197368	0	0	0	0.00164474	0	0.00164474	0	0.0230263	0.00164474	0	0	0	0	0.00657895	0.0131579	0	0	0	0	0	0	0	0	0	0	0	0.0411184	0	0	0	0	0	0	0	0.00986842	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Pahexavirus; Propionibacterium phage PA1-14; unclassified PahexavirusO48"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300752	0	0	0	0	0	0.00300752	0	0.0360902	0.242105	0.081203	0.413534	0.0466165	0.0421053	0.0270677	0.0150376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300752	0	0	0	0	0	0	0	0	0	0	0	0	0.00300752	0	0	0	0	0	0	0	0	0	0	0.00300752	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO52"	0.00226757	0	0	0	0	0.00226757	0	0.00226757	0	0	0	0	0	0	0	0	0.00453515	0	0	0	0	0	0	0	0.00680272	0.00226757	0	0	0	0	0	0	0	0	0.628118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113379	0.00226757	0	0	0	0	0	0	0.544218	0	0	0	0.00453515	0	0	0.0113379	0	0.00226757	0.0113379	0	0	0	0	0	0	0	0	0.00226757	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO53"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165049	0.398058	0.518447	2.69709	1.28932	0.515534	0.370874	0.0990291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00194175	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO55"	0.0033389	0	0	0	0.106845	0	0	0	0	0	0	0	0	0	0	0.0100167	0	0	0	0	0	0	0	0	0.0033389	0	0	0	0	0	0	0	0	0	0	0	0.0100167	0	0	0	0	0.143573	0	0.0133556	0	0	0	0	0	0.0033389	0	0.0233723	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033389	0	0	0	0	0	0	0	0	0	0.0033389	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00306748	0	0	0	0	0	0	0	0	0	0.0644172	0.180982	0.0506135	0.294479	0.0322086	0.0138037	0.00613497	0.00613497	0	0	0.00153374	0	0	0	0	0	0	0.0582822	0	0	0	0	0	0	0	0	0	0	0	0.0245399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153374	0	0.0153374	0	0	0.0276074	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Stenotrophomonas phage vB_SM_ytsc_ply2008005c; unclassified QueuovirinaeO59"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16953	0.0091638	0.0148912	0.0584192	0.00343643	0.130584	0	0.00687285	0.00114548	0.00114548	0	0.00114548	0.0446735	0.00229095	0.00343643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229095	0	0	0	0.0618557	0.0045819	0.00229095	0.0630011	0	0.415808	0.00572738	0.00229095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Siphoviridae; Siphoviridae_Unclassified; Siphoviridae_Unclassified_Unclassified; NAO61"	2.50545	0	0	0	0	0	0	0.0043573	0	0	0	0	0	0	0	0	0.00217865	0	0	0	0	0.0043573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes; Caudoviricetes_Unclassified; Caudoviricetes_Unclassified_Unclassified; NAO64"	0	0	0	0	0.0101868	0	0	0	0	0	0	0	0	0	0	0.0135823	0	0.00509338	0.00339559	0.135823	0.0101868	0	0	0.00169779	0	0	0	0.00169779	0.689304	0	0	0	0.00339559	0	0	0	0	0	0	0	0	0.14601	0.00509338	0	0.00509338	0.00169779	0.619694	0.0305603	0.00339559	0.319185	0	0	0	0	0	0.112054	0	0	0	0	0	0	0	0.00339559	0	0	0	0	0	0	0	0	0.0135823	0	0	0	0	0	0	0
"Viruses; Duplornaviricota; Chrymotiviricetes; Ghabrivirales; Totiviridae; Totiviridae_Unclassified; Malassezia sympodialis mycovirus; unclassified TotiviridaeO65"	0	0	0	0	0	0	0	0	0	0	0.00338409	0	0	0	0	13.5093	0	0.00169205	0	0.00338409	0	0	0	0	0.189509	0	0	0	0	0	0	0	0	0.00338409	0	0	0	0	0	0	0	0.037225	0	0	0	0	0	0	0	0	1.28257	0	0	0	0	0	0	0	0	0.00338409	0	0	0	0	0	0	0	0	0.0389171	0	0	0	0	0	0	0	0	0.00169205	0	0
"Viruses; Uroviricota; Caudoviricetes; Caudoviricetes_Unclassified; Siphoviridae; Siphoviridae_Unclassified; Siphoviridae_Unclassified_Unclassified; NAO66"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230088	0	0	0	0	0	0	0
"Viruses; Pisuviricota; Pisoniviricetes; Picornavirales; Iflaviridae; Iflavirus; Deformed wing virus; NAO67"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.572438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
