SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Listeria sp. PSOL-1	0	44.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteimicrobium xylanilyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0585	0.2241	0	0	0	0	0	0	0	0	0	0	3.2217	0	0	0	0	0	0	0	0	0
Luteolibacter luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.434	0	0	0	0	0
Lysinibacillus sp. 2017	0	0.5915	0	0	0	0	10.7093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3296	0
Lysinibacillus sphaericus	0	4.1405	0	0	0	0	1.3114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1196	2.8657	0	0
Lysobacter maris	0	0	2.3771	1.4534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1491
Mammaliicoccus sciuri	0	3.0758	0.1132	0	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5981	0	0	0
Mannheimia haemolytica	46.1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5996	0	0	0	0.4394	0	19.3553	0	0	0	0	0	0	0	3.2609	0	0
Marinilactibacillus sp. 15R	0	41.1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marisediminicola antarctica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8822	0	0	0	0	0	0	0	0	0	0.4314	0	0.7902	0	0	0	0	0
Marivivens sp. JLT3646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marivivens sp. LCG002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia forsythiae	0	0.4732	0.1132	0	0	0	0	0.1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2548	0	0	0	0	0	0	0.2301	0	0	0	0	0	0	0	0.7691	0
Massilia oculi	0.1565	3.6673	0.2264	0.3633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2392	0	3.5161	0.2983
Massilia putida	0	0.1183	0	2.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0.3296	0
Massilia sp. Dwa41.01b	0.6259	1.6562	0	3.2701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9122	0	0	0	0	0	0	0	0	0	0	0.3951	0	0	0	0	0
Massilia sp. H6	3.5992	11.9483	0.3396	5.8134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0	0	0.257	0	0.7063	0	0	0	0	0	0	0.4314	0	0.7902	0	0	3.1621	0.9889	0
Massilia sp. NP310	1.2519	0.4732	0.3396	9.0835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7678	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3951	0	0	97.2349	0.3296	0
Massilia sp. Se16.2.3	0.313	0.5915	0	0.7267	0	0	0	0	0	0	0	0	0.4079	0	0	0	0	0	0	0	0	0.2241	0	0	0	0.0857	0	0	0	0	0	0	0	0	0	0	0.3951	0	0	0	0	0
Massilia sp. UMI-21	0	0.5915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4482	0	0	0	0.4283	0	0	0	0	0	0	0	0.9078	0	0	0.3951	0	0	0.0988	0.4395	0
Massilia sp. WG5	0.1565	5.915	0	12.7169	0	0.1882	0	0	0	0	0	0	6.9345	0	0	0	0	0	0	0	0	0	0	0.5809	0	0	0	0	0	0	0	0	0	0	0	0	3.1609	0	0	0	0.4395	0
Massilia varians	0	0	0	5.4501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3951	0	0	0	0.7691	0
Melaminivora jejuensis	0	0	0	0	0	0	0	0	0	1.9918	0	0.1376	0	0	0	0	0	0	0	0	0	0.4482	0	0	0	0	0.6899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesomycoplasma molare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0223	0	0	0	0	0	0
Mesorhizobium ciceri	0	0	0	0	0	0	22.6207	10.7132	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium opportunistum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6149	0
Mesorhizobium sp. AR10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3798	0	0	0.0879	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4939	0
Mesorhizobium sp. Pch-S	0.7824	0	3.0563	0.7267	339.834	0	1.6392	2.1426	3.1983	8.6312	0.2968	0.9633	3.6712	1.0018	0.8074	0	0	0	0	0	0.2549	0	0.301	3.1952	0.8822	2.0557	4.8291	0	0	0.8789	0.8006	0	0.6904	3.4797	0	2.2877	0.3951	0	0.1196	2.668	3.7359	1.1931
Mesorhizobium terrae	0	0	0.3396	0.7267	0	0.0941	0.2186	0	0	0	0	0.5505	0	0.1431	0.2019	0	0	0	0	0	0	0	0	0	0	0.1713	0	0	0	0.3515	0	0	0	0	0	0	0	0.0997	0	17.194	0.1099	0
Metamycoplasma hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3828	0	0	24.1604
Methylobacter sp. YRD-M1	0	0	0	0	0	0	13.7691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium bullatum	0.6259	0	0	84.2946	0	0	0	8.9002	0	30.5413	0.2968	2.3395	0	0	0.2019	0	0.1858	0	0	0	0	9.4132	0	0	2.7269	0	0	0	0	0.0879	0	6.9126	0.2301	0.4539	0	0	0	0.0997	0	1.2846	0	0
Methylobacterium durans	0	0	0	0	0	0.0941	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium mesophilicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.572	0	0	0	0	0	0	0	0
Methylobacterium oryzae	0	0	0.1132	0	0	0	0	0.1648	0	0	0	2.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3532	0	0	0	0	0	0	0	0	0	0	0	0	10.9878	0
Methylobacterium phyllosphaerae	0	0	0	0	0	0	0	0	0	0	0	11.147	0	0	0	0	0	0	0	0	0	0	0	0	0.0802	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0
Methylobacterium radiotolerans	0	0	0	5.0868	0.3533	0.1882	0.4371	0.3296	0	1.9918	0	1.1009	0.4079	0	0.4037	0	0	0	0	0	0	0	0	0	0.1604	0.3426	0	0	2.2924	0	0.2669	0	0	4.8414	0	0.8319	22.1265	0	0	0.0988	0.3296	0.2983
Methylobacterium sp. C1	0	0	0	0	0	0	0	0.1648	0	0	0	0.9633	0	0.1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6239	0.3951	0	0	0	0	0
Methylobacterium sp. FF17	0	0	2.0375	9.4468	0	0.2822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0	0.6416	0.1713	0	0	0	0	0.2669	0	0	0	0	0	0	0	0	0	0	0
Methylobacterium sp. OTU13CASTA1	0	0	0.2264	4.3601	0	0	0	0.6593	0	0	0	1.5138	0	0	0	0	0	0	0	0	0	0	0.301	0.2905	0.1604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6917	0.1099	0.1491
Methyloceanibacter sp. wino2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas denitrificans	0	0	0	0.3633	3.5326	0.3763	7.431	71.0366	3.838	0	2.3748	0	0	0.2862	0	0	0	0	0	0.1861	1.1469	0	0	13.0713	0	5.7388	0	0	0	0	0.8006	23.5028	0	28.4429	0	0.208	0	1.8942	0	0	4.0655	0
Methylomonas koyamae	0.313	0.2366	0	0	0	0.2822	0	0.8241	0	0	0.5937	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0903	0	0	0	0	0	0	0	0	0.3026	0	0	0	0	0	0	0	0
Methylomonas methanica	0	0	0	0	0	0.3763	0.4371	0	0	0	0.8905	0	0	0	0	0	0	0	0	0	1.0195	0	0	0	6.5766	0.0857	0	0	0	0	0	0	0	0	0	0	0	0.0997	0	0	0.3296	0
Methylomonas montana	0.7824	0	0	0	0	0.5645	0.2186	0	0	0	0.5937	0.2752	0	0	0	0	0	0	0	0	0.5097	0	0	0	0.1604	0	0	0	0	0	0	2.765	0	13.0111	0	0	0	2.1933	0	0	0	0
Methylomonas paludis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas rapida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8822	0	0	0	0	0	0	0	0.2301	0.7565	0	0	0	0	0	0	0	0
Methylomonas sp. DH-1	0	0	0	0	0	0.1882	0	0.1648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas sp. EFPC1	0.1565	0	0	0	0	0.0941	0.6557	1.9778	0	0	3.859	0	0	0	0	0	0	0	0	0	0.6372	0	0	0	1.3634	0	0	0	0	0	0	0	0	5.2952	0	0	0	10.0691	0	0	0.7691	0
Methylomonas sp. EFPC3	0	0	0	0	0	0	0	0	0	0	0.5937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4812	0	0	0	2.2924	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylomonas sp. LL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6762	0	0	0	5.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0
Methylomonas sp. LW13	0	0	0	0	0	12.8894	1.0928	12.1965	1.2793	0	9.796	0	0	0	0	0	0	0	0	0	0.6372	0	0	1.1619	0.2406	0	0	0	0	0	0	0.6913	0	0	0	5.6151	0	0.5982	0	0	0.3296	0.1491
Methylophilus medardicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4706	0	0	0	0	0	0	0	0	0	0	0	0	2.2924	0	0	0	0	0	0	0	0.7902	0	0	0	0	0
Methylophilus sp. TWE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9919	0	0	0	0	0	0	0	0	0	0	0	0	2.2924	0	0	0	0	0	0	0	1.1854	0	0	0	0	0
Methylorubrum extorquens	0.4695	0	0	0.7267	0	0	0.3278	0.4945	0	0	0	0.1376	0.8158	0	0.4037	0	0	0	0	0	0	0.2241	0.602	0	0.1604	0.3426	0	0	0	0	0	0	0.2301	170.506	0	15.8056	7.1121	0.0997	0	0	0.5494	0.2983
Methylotenera mobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylotenera versatilis	0.313	0	0	0	0.1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3571	4.4913	0	0	0	0	0.0879	0	0	0	0	0	0	0	0	0	0	0	0
Methylovorus glucosotrophus	0	0	0.1132	0	0.3533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium aurum	0	0	0	0	0	0	0	1.1537	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1513	0	0	0	0	0	0	0	0
Microbacterium foliorum	1.5649	2.0111	0.1132	0.7267	0	0	0	0	0	0	1.4842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0
Microbacterium hominis	0.4695	0.5915	0	1.4534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6372	0.2241	0	0	0	0.257	21.3862	0	0	0	0	0	0	0	0	0	0.3951	0	0	0.3953	0	0.1491
Microbacterium lemovicicum	0.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3133	0	0	0	0	0.1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium lushaniae	0.6259	0	0	0.7267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.252	0
Microbacterium oleivorans	0.313	0	0	0	0	0	0.1093	0	0	0	8.3118	0.5505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4314	0	5.9268	0	0	0.0988	0.1099	0
Microbacterium oxydans	7.1984	0.1183	0	0	0	0.0941	0	0	0.6397	0	0.8905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1513	0	0	0	0.8972	0	0.0988	0.4395	0
Microbacterium paludicola	0	12.4215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. ALBL_058	0	0	0	0	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium sp. ALBL_076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1976	6.4828	0
Microbacterium sp. H1-D42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0195	0	0	0.2905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0
Microbacterium sp. LKL04	0	0	0	0	0.1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0877	0	0	0	0	0
Microbacterium sp. PM5	0	0	1.8111	0	0	0	7.1031	4.9445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6913	0	0	0	0.4159	0.3951	0.3988	0	0	0	0.4474
Microbacterium sp. zg-B185	0	0	0	0	0	0	0	0	0	0	0	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium wangchenii	0	0	0	0.7267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.816	0
Microcella alkaliphila	0	0	0	21.437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcella daejeonensis	1.0954	0	0.1132	0.7267	0	0	0.2186	0	0	1.3279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6693	0.1491
Micrococcus luteus	36.4612	1.6562	95.5372	0.7267	36.209	10.8195	134.959	5.6038	0	3.3197	15.4361	15.9636	8.1582	0.5724	0	2.2738	0.5573	0	0	0.7443	7.2638	15.6887	0.602	7.2619	3.6091	10.7067	0	16.2455	4.5847	4.0428	4.2697	0	31.066	3.4797	12.5107	223.566	0	30.5063	0	68.7759	99.7693	68.902
Micrococcus lylae	0	0	0.9056	0	0.7065	0	0.4371	0.3296	0	0	0.5937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.6313	0	0	0	16.5685	0	0	0.4159	0	0	0	0	0	0
Micrococcus sp. KBS0714	0	0	5.8862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcoleus sp. PCC 8701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9126	0	0	0	0	0	0	0	0	0	0
Microcoleus vaginatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microlunatus phosphovorus	4.6946	6.1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8291	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0	0
Microlunatus sagamiharensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2089	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0
Micromonospora aurantiaca	0	0	0	0	0	0	0.5464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6899	0	0	0	0	0	0	0	0	0	0	0.2991	0	0	0.1099	0
Micromonospora echinospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microvirga sp. 17 mud 1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Minicystis rosea	0	0	0.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4711	0	0	0	0	0	0	0
Mitsuaria sp. 7	0	0	0	7.9935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3951	0	0	0	0.2198	0
Modestobacter marinus	0	0	0	0	0	0	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0047	0	0	0	3.7082	0	0	0	0	0	0	0	0	0	0	0	0	0.1099	0
Modestobacter sp. L9-4	1.8778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8714	0	0	0	4.4145	0	0	0	0	0	0	0	0	0	0.3988	0	0	0.1099	0
Moellerella wisconsensis	27.0721	0.1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moraxella bovoculi	5.79	0.1183	0.6792	0	0.3533	0	0.1093	0.3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2905	0.0802	0	0	0	0	0.5273	0	0	0	0.4539	0	0	0	0	0	0.6917	0	0
Moraxella catarrhalis	16.431	0	0.1132	0	0.1766	4.8923	0	0.8241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8714	0.1604	0	0	0	0	0	0	0	0	0	0	0	0	0.4985	0	0.6917	0.1099	0.2983
Moraxella osloensis	345.834	3.0758	9.3953	2.5434	172.213	49.9581	25.2434	9.7243	0	0.6639	9.2023	0.1376	0	0.4293	0.4037	1.7951	0	0	0.1441	0.1861	0.2549	0.6724	8.4275	42.1188	1.203	1.4561	0	0	0	2.1972	0.8006	0.6913	1.6108	24.6606	4.314	0.208	1.5805	1.296	0.1196	85.2781	1.0988	62.9364
Moraxella sp. ALBL_026	0.4695	0	0	0	0	2.258	0	0.3296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucilaginibacter rigui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1854	0	0	0	0	0
Mucilaginibacter sp. 14171R-50	0	0	0	0	0	3.5752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium sp. MS1601	0	0	0	1.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879	0	0	0	34.0408	0	0	0	0	0	0	0	0
Mycobacterium tuberculosis	0	0	1.2452	0	0	0.5645	0.2186	0	0	0	0	0	0	0.1431	0	0	0	0	0	0	0	0	0	0	0.5614	0.1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1976	0	0
Mycobacteroides abscessus	0	0	0	0	0.3533	0.0941	2.4041	0.4945	0.6397	1.3279	1.7811	0	0	0	0.4037	0.359	0	0	0	0.1861	0	0	0.301	0.2905	6.0954	17.3877	0	0	0	0.2637	0.8006	1.3825	12.6565	5.2952	37.5321	0	0	0	0.3589	0.1976	0.5494	0
Mycobacteroides chelonae	0.9389	0.1183	10.3008	0	87.9613	19.3811	3.3877	6.5927	3.1983	10.623	2.6716	20.9178	0.8158	0	0.4037	0.359	0	0.0463	0.048	0.1861	3.5682	0.4482	0	1.7429	6.4964	11.5632	0	9.1823	9.1695	2.1972	9.3399	0.6913	1.6108	23.7529	0.8628	4.5753	12.2486	3.2899	1.1962	5.8301	50.8736	2.2371
Mycobacteroides saopaulense	0	0	0	0	0.8831	0	0	0	0	0	3.5622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium aurum	0	0	0	0	0	0	0	0	0	0	2.0779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium brumae	0	0	0	0	0	0	0	0	0	0	1.1874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycolicibacterium phocaicum	0	0.1183	0.2264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1976	6.0433	0
Mycoplasmoides pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3012	0	0	0	0	0	0	0	0	0
Nakamurella multipartita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria elongata	2.9732	0	0	0	0	8.0911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5164	0	0.3026	0	0	0	0	0	0.1976	0	0
Neisseria meningitidis	35.8353	0.1183	0.1132	0	0	6.9621	0	0	0	1.3279	25.529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0595	0	0	0	0	0.4602	0	0.4314	2.9116	0	0	0.5981	0.2964	0.6593	0
Neisseria mucosa	23.9423	0	0	0	0	0.0941	0	0	7.676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879	0	0	0	0	0	0	0	0	0	0	0.2198	0
Neisseria perflava	0	0	0	0	0	0	0	0	0	21.91	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria sicca	3.2862	0	0	0	0	0	0	0	0	12.6149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2198	0
Neisseria sp. oral taxon 014	0.313	0	0	0	0	74.9841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria subflava	10.4846	0	0	0	0	4.7982	0	0	0	3.9836	5.6401	0	0	0.1431	5.0463	0	0	0	0	0	0	0.8965	0	0	0	0	0	1.2361	2.2924	0	0.8006	0	0	0	0	0	0	6.5798	0	0.0988	0	0
Neobacillus drentensis	0	18.573	0	5.4501	0	0	0	0	0	0.6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4618	0	0	0	0	0	0	0	0	0	0	0	0	0
Neochlamydia sp. S13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.765	0	0	0	0	0	0	0	0	0	0
Nepovirus arabis	0	0	0	0	0	0.4704	0.765	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0.2549	0.2241	0	0	0.2406	0.5996	0	0.1766	0	0.4394	0	0	0	0	0.4314	0	0	0.0997	0	0	0	0.1491
Neptunomonas concharum	0	0.4732	0	0	0	0	0.1093	0	0	0	0	0	0.4079	0	0	0	0	0	0	0.1861	0.1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208	0	0	0	0	0	0
Niabella soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1197	0	0	0	0	0	0	0	1.7429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nissabacter sp. SGAir0207	491.679	0.1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
