SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Acinetobacter guillouiae	109.384	1.183	171.718	1.09	19.2526	9.5965	0.2186	77.7942	14.0726	0.6639	1.7811	49.5422	0	0	13.5239	0	0	0	0	0	0	0	0	0.2905	0.401	1.1992	20.6963	0	9.1695	34.715	5.3371	22.8116	0.2301	501.08	0	34.7306	0	44.6629	0	0.1976	3.9556	0
Acinetobacter haemolyticus	11.58	0.1183	1.5847	0.3633	0	0.0941	0.3278	0	0	0	0.2968	1.5138	0	0	12.111	0	0	0	0	0	0.2549	0	0	0	0	0	1.3798	0	0	0.1758	0	0	0	0	0	241.867	0	0	0	0	0	0.1491
Acinetobacter indicus	29.7323	1.7745	1.0188	0.3633	1.5897	0	0	0	0.6397	0.6639	0	0.1376	0	0	0	0	0	0	0	0	0.892	1.1206	0	0	0	0	1.3798	0	0	0	0	0	0	0	0	0	0	0.1994	0	0	0	1.044
Acinetobacter johnsonii	1427.15	1.6562	3.3959	0	16.0732	1.0349	1.5299	0.4945	0	3.9836	10.9834	9.358	0.8158	0	0.4037	0.1197	0	0	0	0	0.6372	0	0.301	0	0.1604	0.5996	2.7595	1.0595	0	0.5273	0	2.0738	0.4602	9.6827	1.7256	0.208	0	414.527	0.3589	0.6917	0.3296	94.7029
Acinetobacter junii	20.3432	0.4732	0.3396	0	0.3533	0.1882	0.2186	0.1648	0	0	0	7.4313	2.0396	0	0	0	0	0	0	0	131.641	0.2241	0	0	0	0.0857	0	0	0	0.0879	0	0	0	0.3026	0	0	0	26.8177	0	0.1976	0.1099	0.5966
Acinetobacter lwoffii	217.359	0.2366	23.0919	3.9967	6.0054	0.5645	0.5464	0.1648	0	5.3115	1.1874	0.4129	0	0	0	0	0	0	0	0	0.1274	0	0	0	0.0802	0.0857	44.1521	0	2.2924	0	0	0	0.4602	0	0	0	0.3951	7.9755	0.1196	0.0988	6.5927	0.2983
Acinetobacter pittii	5.3205	4.8503	1.5847	0	0	0	1.2021	0	0	0	0.5937	1.9266	0	0	0	0	0	0	0	0.9304	0.7646	0	0.301	0.2905	0	0	0	0	2.2924	0.0879	0	0	0	0	0.4314	33.8988	0	0.7976	0	0	0	0.1491
Acinetobacter schindleri	5.477	0	0.2264	0.7267	0.1766	0	0	0.1648	0	0	0	0	0.4079	0	0.2019	0	0	0	0	0	0.2549	0	0	0	2.3259	0	0	0	0	0	0	0	0	0.1513	0	0	0	0.1994	0.1196	0.1976	0	0
Acinetobacter seifertii	4.5381	0	0.4528	0	0	0	0	0	0	0	0	0	0.8158	0	0	0	0	0	0	0	0	0	0	0	0	0.4283	0	0	0	0	0	0	0	0	0	0	0	0.1994	0	0	0	0
Acinetobacter shaoyimingii	50.3885	0	0	0	0	0	0	0	0	0	0.2968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1196	0	0	0
Acinetobacter soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.0089	0
Acinetobacter sp. Colony158	0	0	0	0	0	0	0	0	0	0	1.1874	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. ESL0695	0.1565	0.9464	0	0	0	0	0	6.5927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. KCTC 92772	0	0	0	0	0	0	0	0	0	0	0.8905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. MYb10	6.4159	10.2921	1.4716	0.7267	0.3533	0	0.1093	0	0.6397	0	77.1807	0	0	0	0.8074	0	0	0	0	0	0	0	0	50.5425	76.1924	14.5611	8.9684	0	9.1695	0.6152	0	6.2213	0	0	0	0	0	1.296	0	0	33.1832	0
Acinetobacter sp. NyZ410	10.3281	0.9464	7.3577	0.3633	0	3.1988	0.1093	0	0.6397	0	0.8905	1.1009	0	0	0.2019	0	0	0	0	0	0	0	0	1.4524	0.1604	1.1135	2.7595	0	2.2924	0.2637	0.2669	31.1067	0	51.5907	0	0.208	0	1.6948	0	0.1976	0.4395	0.1491
Acinetobacter sp. TAC-1	17.8394	1.7745	40.7505	1.8167	0.3533	3.0107	0.8742	4.6149	3.838	17.2625	6.5307	2.0643	0.4079	0	0.2019	0	0	0.8342	0	0.1861	0.1274	5.379	0.602	25.5617	24.7826	5.4818	36.5635	0	25.2161	3.2518	2.6685	15.2077	0.6904	60.5169	6.9025	10.3984	4.3463	2.8911	0.1196	0.1976	2.747	0.2983
Acinetobacter sp. TR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TTH0-4	306.399	3.0758	0	0	0	0	24.8063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1491
Acinetobacter sp. WCHA45	2.3473	0	0	0	0	0	0	0	0	0	0	0	4.0791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter towneri	6.8854	0	0	0.3633	0	0.2822	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3951	2.3927	0	0	0	0
Acinetobacter ursingii	0	0	0	0	0	0.0941	0	0	0	0	8.9055	0.1376	1.2237	0	0	0	0	0	0	0	0	0	0	0	0	0.6852	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0.1099	0
Acinetobacter variabilis	1.8778	0	0	0	0	0.0941	0	0.1648	0	0	0	0	0	0	0	0	0	0	0	0	0.7646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0.3296	0.1491
Actinobacillus equuli	0.1565	0.8281	0	0	0	0	0.9835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0857	0	0	0	0.0879	0	116.132	0	0	0	0	0	0	0	0	0	0
Actinobacillus pleuropneumoniae	0.1565	0.3549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301	0	0	0	0	0	0	0	0	4.1476	0.2301	0	0	0	0	0	0	1.5811	0	0
Actinomadura graeca	0.1565	0	0	0	0	0.0941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5292	0	0	0	0	0	0	0	0	0	0	0	0.2301	0	0	0	0	0	0	0	0	0
Actinomadura madurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6372	0	0	0	0	0	0	0	0	0	0	0	2.0711	0	0	0	0	0	0	0	0	0
